"filename", "language", "Markdown", "Dart", "C++", "JSON", "HTML", "XML", "YAML", "Swift", "CMake", "Properties", "Gradle", "comment", "blank", "total"
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\item_room_widget.dart", "Dart", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 111
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\item_utility_hotel.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\login.dart", "Dart", 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 195
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\login_provider.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\main.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\onboard_screen.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 64
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\onboarding_provider.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\result_screen_demo.dart", "Dart", 0, 464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 490
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\result_screen_demo_bacLieu.dart", "Dart", 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 375
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\reusable_text.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\reusable_text_for_logo.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\room_select_booking.dart", "Dart", 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 233
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\routes.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\select_date_screen.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 68
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\select_hotel_result.dart", "Dart", 0, 480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 496
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\select_hotel_result_1.dart", "Dart", 0, 367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 386
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\select_hotel_result_bac_lieu.dart", "Dart", 0, 458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 478
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\signup.dart", "Dart", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 186
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\signup_provider.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 11, 52
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\success_booking_demo.dart", "Dart", 0, 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 334
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\success_booking_demo_1.dart", "Dart", 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 310
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\success_booking_demo_baclieu.dart", "Dart", 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 310
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\trip_screen.dart", "Dart", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 6, 151
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 4, 15
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 1, 344
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 55, 13, 102
